Data status,Department,Organisation,Website address,Got everything I wanted,Got most of what I wanted,Got some of what I wanted,Got none of what I wanted,Very Satisfied,Satisfied,Neither satisfied nor dissatisfied,Dissatisfied,Very dissatisfied,Don't Know Satisfied,Very good ease of use,Good ease of use,Neither good nor poor ease of use,Poor ease of use,Very poor ease of use,Don't know ease of use,Very good design,Good design,Neither good nor poor design,Poor design,Very poor design,Don't know design,Very good ease of finding,Good ease of finding,Neither good not poor ease of finding,Poor ease of finding,Very poor ease of finding,Don't know ease of finding,Very good editorial,Good editorial,Neither good nor poor editorial,Poor editorial,Very poor editorial,Don't know editorial,Very good accuracy,Good accuracy,Neither good nor poor accuracy,Poor accuracy,Very poor accuracy,Don't know accuracy,Very good search,Good search,Neither good nor poor search,Poor search,Very poor search,Don't know search,Not used search,Definitely recommend,Probably recommend,Not sure recommend,Probably not recommend,Definitely not recommend,Age 16-19,Age 20-24,Age 25-34,Age 35-44,Age 45-54,Age 55-64,Age 65-74,Age 75+,Prefer not to say age,Sex male,Sex female,Prefer not to say sex,Disability yes,Disability no,Prefer not to say disability,Use Internet every day,Use Internet every two or three days,Use Internet about once a week,Use Internet about once a fortnight,Use Internet about once a month,Use Internet less often,Use Internet don't know,Unique users Apr-10,Unique users May-10,Unique users Jun-10,Unique users Jul-10,Unique users Aug-10,Unique users Sep-10,Unique users Oct-10,Unique users Nov-10,Unique users Dec-10,Unique users Jan-11,Unique Users Feb-11,Unique Users Mar-11,Yearly Unique Users,Visits Apr-10,Visits May-10,Visits Jun-10,Visits Jul-10,Visits Aug-10,Visits Sep-10,Visits Oct-10,Visits Nov-10,Visits Dec-10,Visits Jan-11,Visits Feb-11,Visits Mar-11,Two-page visits Apr-10,Two-page visits May-10,Two-page visits Jun-10,Two-page visits Jul-10,Two-page visits Aug-10,Two-page visits Sep-10,Two-page visits Oct-10,Two-page visits Nov-10,Two-page visits Dec-10,Two-page visits Jan-11,Two-page visits Feb-11,Two-page visits Mar-11,Visit duration Apr-10,Visit duration May-10,Visit duration Jun-10,Visit duration Jul-10,Visit duration Aug-10,Visit duration Sep-10,Visit duration Oct-10,Visit duration Nov-10,Visit duration Dec-10,Visit duration Jan-11,Visit duration Feb-11,Visit duration Mar-11,Page requests Apr-10,Page requests May-10,Page requests Jun-10,Page requests Jul-10,Page requests Aug-10,Page requests Sep-10,Page requests Oct-10,Page requests Nov-10,Page requests Dec-10,Page requests Jan-11,Page requests Feb-11,Page requests Mar-11,Strategy and planning costs,Design and build costs,Hosting and infrastructure costs,Content provision costs,Testing and evaluation costs,SCS ,Grade 6,Grade 7,SEO/SIO,HEO,EO,AO,AA,Other,Staff costs,Sites converged,Single-A automated accessibility,Double-A automated accessibility,Manual testing accessibility,User testing accessibility,Service availability,URL redirection,XML Sitemap,Valid HTML,Valid CSS,Consultation descriptions,Job vacancy descriptions
Received,DWP,Pension Protection Fund,www.pensionprotectionfund.gov.uk,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11359,8850,8280,8266,8393,9232,10262,10305,7490,9404,13658,16003,121502,18431,14280,14283,13262,13334,15296,17241,17226,12393,15724,24303,30008,,,,,,,,,,,,,,,,,,,,,,,,,46718,33719,33024,31323,31364,34870,39023,38983,28747,34772,118651,143385,0,10734,69000,0,9387,0,0,0,0,0,1,0,0,0,31600,0,1,1,1,0,99.4,0,1,1,1,0,0
Received,DWP,Pension Protection Fund Ombudsman,www.ppfo.org.uk,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,301,308,316,388,313,360,418,447,331,412,443,452,,730,765,778,756,615,643,919,1389,1230,1354,1435,1366,,,,,,,,,,,,,,,,,,,,,,,,,1180,1116,1294,358,190,342,223,180,139,315,223,205,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,99.95,0,1,1,1,1,1
Received,DWP,Pensions Ombudsman (PO),www.pensions-ombudsman.org.uk,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2972,3065,2887,3134,3099,3129,3443,3580,3056,3436,3672,4007,,7769,8073,8160,8769,8184,8214,9196,10311,9787,10623,10907,11508,,,,,,,,,,,,,,,,,,,,,,,,,5888,5518,5761,5594,5476,5476,5377,5534,5346,6025,6086,7665,0,3088,2045,2179,0,0,0,0.01,0.01,0.01,0.02,0,0,0,1659,0,1,1,0,0,99.95,0,1,1,1,0,1
Received,DWP,Pesticides Safety Directorate,www.pesticides.gov.uk,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,21727,23442,21928,18632,16754,20790,22019,23030,16137,21411,21999,26385,216238,34400,35806,34384,31029,27726,33322,34030,37060,25242,35155,35603,42707,17499,18048,17514,15930,14103,16864,16867,17937,12449,17445,18259,21156,345,330,340,314,318,325,328,400,410,340,352,,327,114570,116436,113433,89490,109538,109134,118559,81028,111157,114952,130385,0,0,16000,2000,0,0,0,0,0,1,0.2,0.2,0,0,41072,0,1,1,1,0,99.9,1,0,1,1,0,0
Received,DWP,Remploy,www.remploy.co.uk,43,17,20,20,29,45,9,6,4,7,36,34,18,5,4,3,27,41,13,9,2,8,27,44,11,3,8,7,34,36,24,0,4,2,28,40,17,3,5,7,24,28,17,1,5,7,18,40,29,15,8,8,4.3,19.4,23.7,19.4,20.4,7.5,0,0,5.3,61.3,34.4,4.3,44.1,55.9,4.3,55.9,24.7,17.2,1.1,0,1.1,0,18808,20027,20912,20842,22218,20914,22493,20798,14429,26138,22227,22085,251891,22836,24336,25027,30559,22824,24780,26571,24714,17222,30655,26117,26093,20762,22122,16459,16388,14990,16105,17054,16046,11070,20209,17151,17285,203,231,391,217,391,203,210,462,391,193,194,209,165615,176530,105808,103908,94482,98525,105312,99717,68572,123300,109331,110391,0,0,8820,0,0,0,0,0,0,0,0,0,0,1,31000,0,0,1,1,1,100,1,1,1,1,0,0
Received,DWP,The Pensions Regulator (TPR),www.thepensionsregulator.gov.uk,49,24,18,9,23,52,16,5,2,2,16,56,20,6,2,,15,57,22,4,2,,14,50,22,11,3,,19,64,13,3,1,,24,57,13,2,,4,12,43,17,6,2,1,19,52,30,13,4,1,,1,17,20,32,23,4,,3,51,46,3,6,87,7,93,5,2,,,,,22016,19015,25246,26464,22140,22601,28948,30925,22445,26446,26994,26703,299943,39757,33170,49662,50103,39185,40580,48025,55056,39553,48750,50823,49427,28944,23936,36875,35734,27573,28893,35918,40292,26269,32631,33885,32993,401,396,400,395,392,382,311,340,363,382,391,396,199254,167363,238188,233271,184813,191822,216355,255671,166039,208781,212465,206852,133600,46100,28500,1800,34000,0,0,1,1.8,1,0,0,0,0,138000,0,1,1,1,1,99.9,1,1,1,1,0,0
Received,ECGD,Export Credits Guarantee Department,www.ecgd.gov.uk,22,50,22,6,33,22,22,11,6,6,28,55,17,,,,28,44,22,6,,,22,50,17,11,,,22,44,28,6,,,22,28,33,6,,11,22,33,22,6,,17,,17,56,22,5,,6,5,17,50,17,,,,5,67,28,5,,89,11,83,,,,6,6,5,3003,2700,3058,2933,2734,3136,3450,3263,2413,3432,4759,4741,29493,4952,4300,5009,4372,4091,4473,5250,4790,3381,4800,6649,6880,,,,,,,,,,,,,172,175,275,208,236,187,201,187,195,182,177,191,18942,16043,29926,19174,21083,19666,22733,20358,13784,20463,26874,29973,0,65760,0,0,0,0,0,0,0.1,0.2,0,0,0,0,10100,0,1,1,1,0,,1,1,0,0,1,1
Received,FCO,British Council,www.britishcouncil.org,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3281871,3448690,3332824,3164873,3441808,3862118,3766000,3782465,3755302,4421966,4133329,4606066,43481085,4526760,4791903,4611299,4427289,4790242,5350954,5372385,5430869,5239908,6176410,5836821,6540305,2480780,2595414,2519030,2477138,1654186,3059634,3052250,3092805,2838903,3392417,3189771,3549440,592,600,583,582,565,536,590,593,597,576,591,587,24274524,25246606,23527265,22445055,23086458,27139930,29122745,29897634,27662554,32148199,29825594,33564107,1000000,2000000,500000,1945000,0,0,0,0,0,0,0,0,0,23.8,1270000,270,1,1,1,1,99.9,0,0,1,1,1,0
Received,FCO,FCO Services,www.fcoservices.gov.uk,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2075,2310,1846,2077,1530,1632,1759,2087,1246,1805,1770,1900,19051,2663,3071,2254,2598,1851,1922,2252,2558,1445,2107,2109,2224,,,,,,,,,,,,,117,106,108,98,107,124,134,112,117,113,103,118,11096,12054,9199,10035,7452,8617,9862,9954,5652,7801,7623,8700,0,0,41488,0,0,0,0,0,0,0,0.05,0,0,0,0,0,0,0,1,0,99.5,1,0,1,1,0,0
Received,FCO,Foreign & Commonwealth Office (FCO),www.fco.gov.uk,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1072572,998192,729662,872593,811863,802164,851410,795807,691214,1133204,1208345,1385987,10204046,1430749,1405575,934377,1108519,1027499,1014881,1087213,1030580,872265,1528911,1712074,1906136,810769,758691,488604,567596,524491,503809,546415,502553,398017,787034,852011,897521,335,320,358,364,372,369,359,371,372,345,328,339,6094719,5816736,4001021,4066411,3906128,3706509,4029436,3622910,2879592,5498968,5819379,6219012,0,656506,817236,0,0,1,1,1,2,5,4,2,0,0,682913,1,1,1,1,0,99.97,0,1,1,1,1,0
