Data status,Department,Organisation,Website address,Got everything I wanted,Got most of what I wanted,Got some of what I wanted,Got none of what I wanted,Very Satisfied,Satisfied,Neither satisfied nor dissatisfied,Dissatisfied,Very dissatisfied,Don't Know Satisfied,Very good ease of use,Good ease of use,Neither good nor poor ease of use,Poor ease of use,Very poor ease of use,Don't know ease of use,Very good design,Good design,Neither good nor poor design,Poor design,Very poor design,Don't know design,Very good ease of finding,Good ease of finding,Neither good not poor ease of finding,Poor ease of finding,Very poor ease of finding,Don't know ease of finding,Very good editorial,Good editorial,Neither good nor poor editorial,Poor editorial,Very poor editorial,Don't know editorial,Very good accuracy,Good accuracy,Neither good nor poor accuracy,Poor accuracy,Very poor accuracy,Don't know accuracy,Very good search,Good search,Neither good nor poor search,Poor search,Very poor search,Don't know search,Not used search,Definitely recommend,Probably recommend,Not sure recommend,Probably not recommend,Definitely not recommend,Age 16-19,Age 20-24,Age 25-34,Age 35-44,Age 45-54,Age 55-64,Age 65-74,Age 75+,Prefer not to say age,Sex male,Sex female,Prefer not to say sex,Disability yes,Disability no,Prefer not to say disability,Use Internet every day,Use Internet every two or three days,Use Internet about once a week,Use Internet about once a fortnight,Use Internet about once a month,Use Internet less often,Use Internet don't know,Unique users Apr-10,Unique users May-10,Unique users Jun-10,Unique users Jul-10,Unique users Aug-10,Unique users Sep-10,Unique users Oct-10,Unique users Nov-10,Unique users Dec-10,Unique users Jan-11,Unique Users Feb-11,Unique Users Mar-11,Yearly Unique Users,Visits Apr-10,Visits May-10,Visits Jun-10,Visits Jul-10,Visits Aug-10,Visits Sep-10,Visits Oct-10,Visits Nov-10,Visits Dec-10,Visits Jan-11,Visits Feb-11,Visits Mar-11,Two-page visits Apr-10,Two-page visits May-10,Two-page visits Jun-10,Two-page visits Jul-10,Two-page visits Aug-10,Two-page visits Sep-10,Two-page visits Oct-10,Two-page visits Nov-10,Two-page visits Dec-10,Two-page visits Jan-11,Two-page visits Feb-11,Two-page visits Mar-11,Visit duration Apr-10,Visit duration May-10,Visit duration Jun-10,Visit duration Jul-10,Visit duration Aug-10,Visit duration Sep-10,Visit duration Oct-10,Visit duration Nov-10,Visit duration Dec-10,Visit duration Jan-11,Visit duration Feb-11,Visit duration Mar-11,Page requests Apr-10,Page requests May-10,Page requests Jun-10,Page requests Jul-10,Page requests Aug-10,Page requests Sep-10,Page requests Oct-10,Page requests Nov-10,Page requests Dec-10,Page requests Jan-11,Page requests Feb-11,Page requests Mar-11,Strategy and planning costs,Design and build costs,Hosting and infrastructure costs,Content provision costs,Testing and evaluation costs,SCS ,Grade 6,Grade 7,SEO/SIO,HEO,EO,AO,AA,Other,Staff costs,Sites converged,Single-A automated accessibility,Double-A automated accessibility,Manual testing accessibility,User testing accessibility,Service availability,URL redirection,XML Sitemap,Valid HTML,Valid CSS,Consultation descriptions,Job vacancy descriptions
Received,FCO,Great Britain-China Centre,www.gbcc.org.uk,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1420,1439,1388,1455,1404,1702,1964,1813,1447,1659,1588,1927,,1749,1744,1688,1812,1736,2157,2657,2182,1691,1986,1965,2546,152,,,,,,,,,,,,152,151,151,145,144,138,146,131,132,148,154,151,5428,5546,5532,5408,5231,6059,7592,6020,4455,5500,5618,7290,0,0,212,0,0,0,0,0,0,1,0,0,0,0,1200,0,1,1,0,0,99.9,1,0,1,0,0,0
Received,FCO,Marshall Aid Commemoration Commission,www.marshallscholarship.org,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15901,14890,14217,14968,18930,13017,17911,20888,15878,16153,14735,16929,,19684,19382,18799,20908,26880,22119,27249,29925,20627,21112,19797,22806,70211,69861,69112,76855,87238,76144,83626,101251,65038,61818,59153,69565,198,214,238,252,224,284,174,194,155,158,171,164,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,,0,0,1,1,0,0
Received,FCO,Westminster Foundation for Democracy,www.wfd.org,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3164,3041,2370,2014,1682,2259,2339,2323,1880,2200,3101,2759,27540,4295,4197,3554,2930,2447,3013,3075,3779,2474,2828,4018,3542,4295,4197,3554,2930,2447,3013,3075,3779,2474,2828,4018,3542,148,109,139,126,115,111,106,131,107,154,136,139,13984,11950,11905,9575,7710,8711,9379,12025,7281,9236,12696,11433,0,0,920,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,99.5,1,1,1,1,1,1
Received,FORCOMM,Forestry Commission,www.forestry.gov.uk,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,292869,288384,257543,276624,276033,236470,298164,214665,196326,270994,268274,285658,,390105,380049,338492,358854,357030,310847,397259,289805,252387,366889,362101,385087,,,,,,,,,,,,,312,329,284,296,302,302,313,308,289,311,300,294,1652141,1582437,1421574,1545506,1567689,1392399,1940570,1299199,1033988,1631374,1588627,1674944,0,32000,8000,0,0,0,0,0,0.7,2.6,0.6,0,0,0,122000,0,0,0,0,0,99,1,1,1,1,1,0
Received,FSA,Food Standards Agency,www.food.gov.uk,23.8,33.9,24.4,17.9,15.4,45.7,16.5,8.7,6.9,6.8,18.5,47.3,15.7,8.1,9.5,0.9,17.1,49.6,19.5,6.2,6.8,0.8,12.3,39.5,20.1,14.2,12.8,1.1,20.9,51.4,13.6,5.8,7.2,1.1,23.5,46.6,14.7,4.7,6.8,3.7,17.1,34.7,15.8,12.3,12.5,1.2,6.4,35,38.5,11.9,8.4,6.2,13.9,8.2,20.4,20.6,19.1,11.3,1,2.4,3.1,34.6,60,5.4,6.5,87.7,5.8,83.1,8.4,3.3,0.4,1.7,1.6,1.5,224191,240349,214510,204100,185819,237471,249646,221957,153828,224973,213305,248970,2619119,301581,316657,293426,282267,252762,316412,331013,299964,210298,308160,288405,339386,135953,139856,128869,122389,110763,138370,149900,150576,101160,152659,140907,166908,418,409,406,401,403,403,398,403,419,410,406,407,869501,890492,829121,784264,713866,887509,915113,1020187,739402,1091342,920157,1077223,51501,112616,671721,30178,95616,0,1,0,4.1,2.2,3.23,0,0,0,346426,1,1,1,1,0,99.99,0,1,1,1,1,1
Received,GAD,Government Actuary's Department,www.gad.gov.uk,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5027,5148,5040,5093,4736,4884,5276,5365,4032,5534,6006,6438,,6195,6401,6217,6312,6096,6542,7061,7510,5568,7412,8070,8371,3965,3969,3855,4040,3792,4057,4237,4431,3230,4448,4438,4437,120,116,120,113,122,118,107,121,118,125,126,113,22542,22940,21843,22530,21187,22539,23344,25492,17823,26830,25998,25590,0,0,3691,0,0,0,0,0,0.3,0,0,0,0.05,0.1,29000,0,1,1,1,0,100,0,1,1,0,0,0
Received,GEO,Equality and Human Rights Commission,www.equalityhumanrights.com,8,18,34,40,16,33,15,18,14,4,36,17,18,12,17,,48,12,13,10,13,4,45,10,13,10,19,3,50,9,11,11,16,3,43,12,17,8,17,3,42,10,8,15,18,2,5,25,17,7,19,32,11,,25,,31,,25,4,6,55,45,,34,62,4,74,6,,,,,20,68075,68085,63694,58538,68098,85380,123693,107502,68816,99035,95300,113650,876219,93570,91204,85598,80358,97519,118451,176517,148150,93106,135301,131585,154541,93570,91204,85598,80358,97519,118451,176517,148150,93106,135301,131585,154541,180,217,180,180,180,180,240,240,180,240,180,180,381361,370984,344710,317848,418453,548003,833368,664736,409968,622670,597158,689720,0,0,20280,0,12105,0,0,0,1,2.5,0.3,0,0,0,0,5,0,0,1,1,100,0,0,1,0,0,0
Received,HMRC,Businesslink,www.businesslink.gov.uk,25,34,30,11,29,39,18,5,4,5,35,44,14,4,3,,23,45,24,6,2,,26,44,17,9,4,,36,41,17,4,2,,33,42,21,2,2,,27,35,13,5,4,,16,47,32,12,6,3,7,7,22,26,24,12,1,1,,51,47,2,10,85,5,90,7,2,0.2,0.2,0.3,0.3,1254660,1189174,1159184,1106411,951282,1101248,1186787,1211969,923059,1407918,1317109,1692162,12707799,1526520,1449462,1427373,1371918,1182254,1350282,1444311,1481225,1098734,1697644,1606298,2109771,805044,776581,763158,738324,627655,703334,746745,761757,554614,906894,849298,1128817,511,513,503,499,516,518,516,519,517,514,527,544,8122137,7882406,7545986,7410836,6524741,6978919,7368501,7470186,5479848,9029269,8652111,11265767,599895,0,5616328,7445618,228717,2.75,1,2,4,1,2,0,0,0,656804,101,0,0,0,1,99.9,1,1,0,0,1,1
Received,HMRC,HM Revenue & Customs,www.hmrc.gov.uk,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4335611,4248508,4109937,4335611,3735655,3997842,4158055,3765695,3350451,6707310,4278680,5165151,,8281665,7953326,7467544,8281665,6559190,8426287,8153217,6823194,6204796,12393255,8126567,10175057,5552220,5319471,4934547,5552220,4138455,5581351,5679659,4751489,4311362,9142410,5603050,7017876,,,,,,,,,,,,,44245334,41819071,38933655,44245334,32242698,37375490,39141494,31973298,28341662,60623230,39535183,49361737,0,447503,1159738,8813,0,0,2.07,17.35,23.5,28.23,40.27,1.25,0,0,3776475,2,1,0,1,1,100,0,1,1,1,0,0
Received,HMRC,UK Trade info,www.uktradeinfo.com,,,,,16,21,63,0,0,0,,,,,,,,,,,,,22.5,30,37.5,5,5,0,0,77,0,23,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,23581,22342,22185,22654,21492,22368,23054,24995,18934,25070,23752,25241,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,755269,704080,2913133,649109,550281,648502,575265,646710,519278,2275663,1654896,764898,0,29362,126571,30651,0,0,0,0,0.3,1.8,0,0,0,0,69480,0,0,0,0,0,99.9,0,0,0,0,1,0
Received,HMT,Debt Management Office (DMO),www.dmo.gov.uk,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20460,,,,,,,,,,,,,45013,,,,,,,,,,,,,,,,,,,,,,,,414,,,,,,,,,,,,275882,,,,,,,,,,0,0,35676,0,7170,0,0,0,0,0,0,0,0,0,20000,0,0,0,0,0,,0,0,0,0,0,0
Received,HMT,HM Treasury,www.hm-treasury.gov.uk,4.8,69,21.4,4.8,2.4,46,24.1,13.8,5.7,8,3.5,35.1,29.8,24.6,7,,5.4,46.4,35.7,10.7,1.8,,1.8,33.9,28.6,25,10.7,,3.6,38.2,36.4,12.7,9.1,,23.6,43.6,27.4,3.6,1.8,,1.8,30.3,48.2,14.3,5.4,,,,,,,,7.7,7.7,26.8,26,19.5,4.1,4.1,4.1,,72.1,27.9,,7.4,89.3,3.3,5.7,6.8,25,,45.5,17,,162846,245179,346281,184310,140881,166365,427495,191143,149567,157589,162384,439517,2773557,224929,339598,496302,282759,199740,233138,587039,272536,214736,225857,234201,610959,122295,209165,319827,170759,119594,132396,360841,161023,121424,125966,134416,406506,313,280,332,304,295,284,307,299,323,300,292,305,801503,1322945,1929093,1080828,761588,840969,2139236,999907,756591,791175,842323,2351817,0,105974,85594,0,28304,0,0,1,3,1,0,0,0,0,160000,0,1,1,1,0,100,1,1,1,0,1,0
Not received,HMT,The Red Box,www.redbox.gov.uk,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0
Not received,HMT,UK Financial Investments Ltd,www.ukfi.gov.uk,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0
Received,HO,HM Inspectorates of Constabulary,www.hmic.gov.uk,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6291,6127,6350,9078,5764,9080,6526,7352,5127,6712,9308,7592,72955,9022,8935,9230,12812,8566,13091,9175,10694,6962,9161,11775,10278,6136,6462,6352,6551,4960,8031,5201,6422,3812,5311,6950,5815,342,351,329,322,346,319,295,363,339,328,270,324,47791,52405,45653,48756,38797,58457,34188,41968,26419,35517,44607,38931,0,24469,192569,0,6350,0,0,0,0.7,0.7,0,0,0,0,47780,0,1,1,0,0,99.93,0,0,0,0,0,0
Received,HO,Home Office,www.homeoffice.gov.uk,22.5,23.5,20.5,33.5,27.7,25.4,9.4,14.5,22.3,0.7,25.4,30.9,12.5,12.1,18,1.1,22.3,30,15,15.2,16.4,,20.3,21.5,12.9,19.13,24.2,0.8,17.6,34.4,14.5,9.7,16.8,3.1,20.7,31.6,13.3,7.4,14.1,9.8,17.2,23.8,14.1,14.1,21.9,1.6,7.3,32.4,19.6,12.5,15.2,20.3,4.3,7.8,18,18.8,11.7,8.2,2,,29.2,38,32,30,9.7,63.2,27.1,60.5,7,3.1,1.2,0.4,0.8,27,451711,321620,393278,396902,385354,384959,427872,427983,383821,474006,482774,410589,4512997,560582,402326,496336,512419,486228,482955,536329,546085,483922,595149,608097,523998,262150,206135,238092,248184,228333,227123,249766,263282,221032,276685,291249,244473,283,258,248,263,269,268,260,273,282,272,269,295,1446825,1097436,1218564,1302487,1228572,1222538,1361487,1432872,1238077,1526742,1542498,1332998,76974,0,760548,18883,4700,0.5,0.5,1.5,2,5.6,0,0,0,0,427396,9,1,1,1,0,99.4,1,0,1,1,1,0
Received,HO,Independent Police Complaints Commission (IPCC),www.ipcc.gov.uk,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14975,20914,22356,33811,30380,27576,29416,33742,25916,,19437,26050,,38248,31979,34256,39195,35124,31576,33556,38055,29597,,35010,45571,,,,,,,,,,,,,336,330,330,334,376,406,401,405,373,,400,395,135250,115952,125941,144210,124151,115361,121535,131065,102918,,119241,147708,0,2988,39665,0,3067,0,0,0,0,1,0,0,0,0,30500,0,1,1,1,0,99.5,1,1,0,0,0,0
Received,HO,UK visas,www.ukvisas.gov.uk,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,807347,855538,742270,895677,895677,552315,265295,725622,690670,830028,768673,901031,7828401,1243629,1328011,1151642,1436569,1521700,834090,337984,1112149,1063701,1268364,1172383,1396511,,,,,,,,,,,,,527,532,515,541,534,469,435,523,525,533,532,526,6927031,7313820,6194886,6297787,6677248,3594623,515140,4774069,4451587,5598194,5089740,5983899,0,0,0,0,0,0,0,0,0,0,1,0,0,0,24409,0,1,1,1,0,99.97,0,1,1,1,0,0
Not received,HO,Action Fraud,www.actionfraud.org.uk,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0
Not received,HO,Centre for the Protection of National Infrastructure (CPNI),www.cpni.gov.uk,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0
Not received,HO,Citizen Focus and Neighbourhood Policing,cfnp.npia.police.uk,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0
Not received,HO,Forensic Science Service,www.forensic.gov.uk,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0
Not received,HO,Independent Safeguarding Authority (isa.homeoffice.gov.uk),isa.homeoffice.gov.uk,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0
Not received,HO,Investigatory Powers Tribunal,www.ipt-uk.com,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0
Not received,HO,Life in the UK Test,www.lifeintheuktest.gov.uk,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0
Not received,HO,National Police Improvement Agency,www.npia.police.uk/en/home.htm,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0
Not received,HO,Serious Organised Crime Agency,www.soca.gov.uk,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0
Not received,HO,SIA - Security Industry Authority,www.sia.homeoffice.gov.uk,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0
Not received,HO,Think U Know - (Child Safety Cnline Campaign),www.thinkuknow.co.uk,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0
Not received,HO,"Warning, Advice and Reporting Point (WARP)",www.warp.gov.uk,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0
Received,MOD,Admiralty Charts and Publications,www.nmwebsearch.com,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1971,,,,,,,,,,,,,5098,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,52773,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,99.97,0,0,0,0,0,0
Received,MOD,Admiralty Easytide,www.easytide.com,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0
Received,MOD,Defence Analytical Services and Advice,www.dasa.mod.uk,30,41,20,9,34,39,7,8,6,6,24,48,7,3,7,11,15,42,22,5,5,11,12,58,6,7,8,9,20,47,13,3,5,12,29,36,15,4,2,14,23,35,10,9,5,18,,47,28,12,8,5,3,3,22,18,29,10,1,,14,60,25,15,18,68,14,77,10,,,1,,12,2485,2520,2460,2469,2487,2892,2999,3119,2023,2726,2733,3368,29462,3570,3531,3521,3904,3542,4148,4348,4448,2929,3957,4032,4971,1833,1734,1765,1693,1771,2373,2623,2594,1681,2345,2357,2743,334,502,333,338,370,418,421,406,389,364,386,391,12390,11907,12089,12017,13363,23208,24511,21882,14630,20214,20056,23356,0,0,12030,0,1287,0,0,0,0,1,1,0,0,0,74461,0,1,0,0,0,100,1,1,0,0,1,1
Received,MOD,Defence Blog Homepage,www.blogs.mod.uk,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14604,15873,15912,16589,19056,16535,16790,16111,11820,16155,14692,16644,165363,22396,24532,30779,25701,28295,25523,26149,25391,18837,25203,23887,27667,4948,6319,6057,6845,7472,6761,6857,6771,4880,6361,6526,7396,,,,,,,,,,,,,,,,,,,,,,,,,0,0,3672,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,100,0,1,0,0,1,0
Received,MOD,Defence Consultations,defenceconsultations.org.uk,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3937,2159,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,64,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,100,0,1,1,1,1,0
Received,MOD,Defence Science and Technology Laboratory,www.dstl.gov.uk,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16650,16656,15213,15911,14625,15248,19144,18700,17423,19691,15730,15978,,44642,44381,37181,38722,35801,37847,43407,54419,49773,46535,39026,38986,44642,44381,37181,38722,35801,37847,43407,54419,49773,46535,39026,38986,298,298,325,272,316,312,289,294,289,343,349,343,529096,520960,490488,466541,466742,519114,663378,797734,607722,688165,610228,599914,8285,63161,0,0,19940,0,0,0,0.5,0,0,0,0,0,10000,0,1,0,1,0,100,0,1,1,1,1,0
Received,MOD,Defence Support Group,www.dsg.mod.uk,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2544,2354,2443,2473,2337,2524,3636,2699,1845,2739,2622,2845,28005,3110,2864,2923,3007,2819,3058,4574,3500,2393,3367,3226,3389,2072,1870,1918,1960,1796,1911,3014,2092,1382,2102,1983,2139,156,162,143,164,153,140,138,134,131,138,163,137,14789,13794,13981,14303,12689,13352,20323,14634,9506,14829,14406,14333,0,0,670,0,0,0,0,0,0.01,0,0.05,0,0,0,1700,1,1,0,1,1,100,0,1,1,1,0,0
Received,MOD,Disposal Services Authority,www.edisposals.com,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9371,9834,8053,9334,10855,15527,9092,105915,303425,46888,38217,116098,658805,10876,11417,9310,11099,12844,18479,11001,114280,332287,54629,44296,129602,8461,8839,7032,8143,9192,13795,8019,52407,135647,35094,24190,70627,238,226,234,227,222,268,237,174,108,244,195,242,104300,113713,79135,96228,107889,178691,104619,492546,1226139,504225,318931,768539,0,0,115617,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0,100,0,0,0,0,1,1
Received,MOD,Easy Tide,easytide.ukho.gov.uk,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0
Received,MOD,HM Nautical Almanac Office,www.hmnao.com,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2641,2915,3166,3938,3684,3381,3153,3414,3654,4602,3462,3963,41973,3763,4028,4817,4099,4860,4322,3922,4561,4837,6116,4485,5189,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0.5,0,0,0,0,0,20000,0,0,0,0,0,98,0,0,1,1,1,0
Received,MOD,Met Office,www.metoffice.gov.uk,27,25,18,30,25,20,5,17,33,,38,30,8,10,14,,27,31,21,8,13,,26,29,17,13,15,,31,28,16,12,13,,25,25,12,12,26,,23,21,21,15,20,,,34,14,9,14,29,8,6,11,11,19,22,10,5,8,75,21,4,12,82,6,84,8,1,,1,2,4,6749960,6985107,5244188,5895724,5756350,4414940,4014850,7677346,12960310,4458714,3597396,3602104,48478428,17789908,19089989,16150950,18912377,18392595,14426887,13403654,23439277,44529788,16190153,12727322,12444544,10594046,10594046,10594046,10594046,10594046,5218308,6137199,14128676,29089895,7953688,6029692,5600868,235,235,235,235,235,249,265,246,247,208,220,212,50361823,56232897,42627513,51509971,49892831,36506656,33060304,74629641,145455762,39440078,30841245,28755490,0,123900,498009,53923,35766,0,0,0,0,0,0,0,0,6.1,153216,0,1,1,1,1,99.96,1,1,1,1,1,1
